Date,Close,High,Low,Open,Volume
1990-01-02,2.0583486557006836,2.0583486557006836,2.0253622990388136,2.0385568417035618,12128000
1990-01-03,2.028661012649536,2.055050096373982,2.0220637417184246,2.055050096373982,12976000
1990-01-04,2.0187642574310303,2.0319587950612985,1.992375182170494,2.028660361986398,7841600
1990-01-05,2.0022706985473633,2.0385554650390763,1.9989718637761815,2.0187636644076288,8305600
1990-01-08,2.0451529026031494,2.0451529026031494,1.9956735982276328,2.002270865655385,10064000
1990-01-09,2.028661012649536,2.0517512595756955,2.0187649049201375,2.045153988644584,7419200
1990-01-10,2.0154659748077393,2.0319589467440844,1.9956741668849072,2.0286605134229605,8865600
1990-01-11,2.0154659748077393,2.035257782730571,2.0088687055001286,2.0154659748077393,6083200
1990-01-12,1.9428967237472534,1.9923760603367688,1.9395978865530135,1.9923760603367688,11931200
1990-01-15,1.9099109172821045,1.9461957209155125,1.9099109172821047,1.942897285433215,7740800
1990-01-16,1.9264031648635864,1.9264031648635864,1.8802222670757607,1.9099101884149565,15332800
1990-01-17,1.9132084846496582,1.9297018625741877,1.903312780027296,1.9264030259231042,9076800
1990-01-18,1.9033124446868896,1.916506983635619,1.8868190696682914,1.91320814756575,13576000
1990-01-19,1.916507601737976,1.9231048733400595,1.9066114930020994,1.9066114930020994,10728000
1990-01-22,1.8604298830032349,1.9231041406782172,1.8604298830032349,1.9165068715895532,9236800
1990-01-23,1.8736249208450317,1.8868194625411236,1.837340132513508,1.86043037914894,10224000
1990-01-24,1.8637287616729736,1.8703260309131162,1.8109506077518325,1.8703260309131162,15361600
1990-01-25,1.8142497539520264,1.8703267658614837,1.7977567757034028,1.863729494028931,11276800
1990-01-26,1.7812632322311401,1.8241456965620375,1.7482768760787117,1.8142495883835688,10267200
1990-01-29,1.8010549545288086,1.8076522254245186,1.7614713291545492,1.7812631418416789,6878400
1990-01-30,1.748276948928833,1.794457849466576,1.7218878629072658,1.794457849466576,17204800
1990-01-31,1.817548394203186,1.817548394203186,1.7614713883717241,1.7614713883717241,12382400
1990-02-01,1.8142497539520264,1.8340415694496848,1.8109513193685085,1.8175485912010612,8548800
1990-02-02,1.83074152469635,1.857130588816909,1.810949726605931,1.8142481582884193,9054400
1990-02-05,1.8241453170776367,1.837339856793694,1.8142492109578952,1.8307425869356653,5838400
1990-02-06,1.8142497539520264,1.827444297617132,1.8076524821194735,1.824145863033614,6806400
1990-02-07,1.8340407609939575,1.847235298842835,1.7911587143177758,1.8142489542206415,10907200
1990-02-08,1.83074152469635,1.8538317544692575,1.8175469926360708,1.8340399563788385,8243200
1990-02-09,1.820845603942871,1.843936238658806,1.820845603942871,1.830741705296901,6374400
1990-02-12,1.8076519966125488,1.8241453730968278,1.7944574564912894,1.8208465367338085,7777600
1990-02-13,1.7680689096450806,1.81095137930879,1.7647704749523885,1.8076525419505673,10747200
1990-02-14,1.7713671922683716,1.7878601658978266,1.7680683559432382,1.7680683559432382,6832000
1990-02-15,1.8340407609939575,1.8340407609939575,1.7647696386200211,1.7713669075444598,12192000
1990-02-16,1.8076519966125488,1.8472356169763273,1.8076519966125488,1.834041076855068,18003200
