Date,Close,High,Low,Open,Volume
1990-01-02,1.0500073432922363,1.0500073432922363,1.011761638063118,1.022192468065134,6206625
1990-01-03,1.0534836053848267,1.0639143668157283,1.0430533811098037,1.0569605482432887,5591025
1990-01-04,1.0604380369186401,1.063914981786869,1.0465308617464382,1.0500078066146667,3183300
1990-01-05,1.0465307235717773,1.0604378969077992,1.0430538463071284,1.0604378969077992,2782350
1990-01-08,1.0360995531082153,1.043053439212502,1.032622610056072,1.0395764961603586,1455975
1990-01-09,1.0082846879959106,1.0360996301817622,1.0082846879959106,1.0360996301817622,1854900
1990-01-10,1.0152391195297241,1.0152391195297241,0.9943780527686251,1.008285229175769,1891350
1990-01-11,1.0221918821334839,1.0326221018563368,1.0187149407924996,1.0291451605153525,1099575
1990-01-12,0.9839471578598022,1.0187153775766584,0.9700393865327726,1.0117614919131435,2377350
1990-01-15,0.9735158085823059,0.98394663149761,0.9596086489952694,0.9804696905258419,2968650
1990-01-16,0.9874241352081299,0.9909010802893071,0.9665630690218168,0.9665630690218168,4582575
1990-01-17,1.0152391195297241,1.029146295936868,0.9909011075916475,0.9943780527686251,8642700
1990-01-18,1.0500073432922363,1.0500073432922363,0.997854469027543,1.0013314123615484,5973750
1990-01-19,1.0673915147781372,1.0778217410573736,1.0569607513429187,1.0569607513429187,7034850
1990-01-22,1.0430537462234497,1.0708686273827026,1.0291459699212817,1.0708686273827026,5591025
1990-01-23,1.0604380369186401,1.0743452792353658,1.043053984022733,1.043053984022733,5131350
1990-01-24,1.0604380369186401,1.0604380369186401,1.004808799073643,1.0152390293776161,5791500
1990-01-25,1.0291459560394287,1.0604377808521372,1.025669616311353,1.0569609039680021,3438450
1990-01-26,1.018715262413025,1.0430532551836085,0.9978542120811377,1.0291454854288233,5068575
1990-01-29,1.0013314485549927,1.0187155615529273,0.9804703920973774,1.015238618093247,6662250
1990-01-30,0.9735158085823059,0.9978537910846464,0.9596086489952694,0.9943768501128784,10829700
1990-01-31,0.9769940376281738,0.9769940376281738,0.9596099141500491,0.9665632009607996,8606250
1990-02-01,0.9804710745811462,0.9874243620400657,0.9700402369414342,0.9839480204610503,3476925
1990-02-02,1.0117617845535278,1.0256695599032204,0.9700396671055174,0.9700396671055174,7223175
1990-02-05,1.0256692171096802,1.0360994408354838,1.0117614464081663,1.0117614464081663,3950775
1990-02-06,1.0291459560394287,1.0326229000680713,1.011761840196783,1.0291459560394287,4663575
1990-02-07,1.0569608211517334,1.0639146415196568,1.0221925921906438,1.0256695359468568,6196500
1990-02-08,1.0326229333877563,1.0604378150693263,1.0291459892469232,1.0604378150693263,4491450
1990-02-09,1.0465307235717773,1.0534840752339867,1.0221927841527791,1.0291460686704736,4884300
1990-02-12,1.0256692171096802,1.0465302017171378,1.0221922744343017,1.0465302017171378,2055375
1990-02-13,1.0256692171096802,1.0326224981601053,1.0221922744343017,1.0326224981601053,2626425
1990-02-14,1.0291459560394287,1.0500075530667765,1.025669616311353,1.0291459560394287,3379725
1990-02-15,1.0291459560394287,1.0360998440967137,1.0221926722827106,1.0291459560394287,3270375
1990-02-16,1.0117617845535278,1.0430536747898025,1.0082848407161047,1.02914589944011,2741850
1990-02-20,0.994377613067627,1.0048084439861804,0.9769934991705371,1.0048084439861804,4311225
1990-02-21,1.0256692171096802,1.0256692171096802,0.9804701709304239,0.9943773373316059,3572100
1990-02-22,1.0508619546890259,1.0647804429074914,1.036942928877412,1.0508619546890259,6202575
1990-02-23,1.0195443630218506,1.0334628470849603,1.005625878958741,1.029983074871155,2764125
1990-02-26,1.0578210353851318,1.0613007416748108,1.0230245100815254,1.0265042835703526,3657150
1990-02-27,1.0926178693771362,1.0960970373447403,1.050861805843822,1.0578208137703706,9809100
1990-02-28,1.106537103652954,1.1239353744211842,1.089138832884724,1.089138832884724,8993025
1990-03-01,1.1100168228149414,1.1100168228149414,1.103057272941398,1.1100168228149414,6571125
1990-03-02,1.1100168228149414,1.1134965977517133,1.103057272941398,1.1065370478781698,3185325
1990-03-05,1.1169755458831787,1.1274148686185492,1.1030570536951494,1.1030570536951494,3671325
1990-03-06,1.158732295036316,1.1622114646781485,1.120455381051179,1.120455381051179,10339650
1990-03-07,1.22136652469635,1.22136652469635,1.155252615542481,1.1587324576643734,13907700
1990-03-08,1.22136652469635,1.2318052446719177,1.1865694474609418,1.2109272671273759,10588725
1990-03-09,1.2074471712112427,1.2144067195938433,1.1935287464376585,1.203967464219104,6004125
1990-03-12,1.217886209487915,1.217886209487915,1.1900485615850813,1.2039671167399288,2650725
1990-03-13,1.1970075368881226,1.217885628456398,1.186568289506654,1.2109260854026787,4244400
1990-03-14,1.2039676904678345,1.2074473981138771,1.1935289707247523,1.197008678370795,4756725
1990-03-15,1.2248464822769165,1.2283256527350104,1.2039678307725155,1.2039678307725155,8837100
1990-03-16,1.2422442436218262,1.2492031192738735,1.2248459793052346,1.238764402600875,11890800
1990-03-19,1.2979185581207275,1.304878104771941,1.238764225962327,1.2422440664870789,11909025
1990-03-20,1.2770403623580933,1.301398169063517,1.2666016479370608,1.280520202628331,10570500
1990-03-21,1.2631219625473022,1.2979184842380025,1.2596422566189192,1.2944386439113371,8264025
1990-03-22,1.2352848052978516,1.263122326344229,1.217886539441557,1.263122326344229,5508000
1990-03-23,1.2700812816619873,1.2805205363971415,1.2561627233428325,1.2561627233428325,6504300
1990-03-26,1.301398515701294,1.3153170740998823,1.2909592609065628,1.2909592609065628,6311925
1990-03-27,1.3048782348632812,1.3118371102168178,1.2874799712930123,1.3013983939916025,4675725
1990-03-28,1.2874799966812134,1.2979187131122727,1.2700811951746387,1.2979187131122727,4398300
1990-03-29,1.2770403623580933,1.2874797487705267,1.270080950614178,1.2874797487705267,3839400
1990-03-30,1.2735612392425537,1.2770409467067565,1.2596428125807668,1.2770409467067565,1348650
1990-04-02,1.2735612392425537,1.2735612392425537,1.2561629707182222,1.2596428125807668,4898475
1990-04-03,1.3048782348632812,1.3083579413366564,1.2805204239479586,1.2805204239479586,5378400
1990-04-04,1.2909588813781738,1.311836847236469,1.2874797131954716,1.3048779732779587,3244050
1990-04-05,1.3048782348632812,1.3118371102168178,1.2979186875182276,1.3013983939916025,5931225
1990-04-06,1.3118374347686768,1.329236374635004,1.3083582650277599,1.325756532902404,5593050
1990-04-09,1.3153165578842163,1.3222761031487646,1.2944384596836238,1.3013980049481721,6228900
1990-04-10,1.3153165578842163,1.3187962633173589,1.3048778447795781,1.3048778447795781,3252150
