Date,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
2001-08-27,4.801459312438965,,5.102648224474083,,4.436791729566573,,4.660995140742668,,204166311,
2001-08-28,4.978391647338867,,4.9973004995679275,,4.674501529066402,,4.725825094245371,,65145307,
2001-08-29,4.913560390472412,,4.997299624772239,,4.875743663464059,,4.994597805881159,,26758394,
2001-08-30,5.010806560516357,,5.066181724319358,,4.8622378797211745,,4.900055585690459,,24125560,
2001-08-31,4.998649597167969,,5.08103742916358,,4.97028648815706,,5.017558444378525,,11673333,
2001-09-03,4.995948791503906,,5.0742850440470715,,4.977040911289125,,5.024312229875662,,11110863,
2001-09-04,5.059428691864014,,5.143166963619631,,4.9810924403756545,,4.998650543391327,,18595129,
2001-09-05,5.056726455688477,,5.12155684213749,,5.025662171931769,,5.079687547907594,,13098098,
2001-09-06,4.95678186416626,,5.060779747461864,,4.931119918523078,,5.044572066588295,,14570402,
2001-09-07,4.819018363952637,,4.990547501819407,,4.814966767201974,,4.929769343629935,,15854346,
2001-09-10,4.95678186416626,,4.977041465258221,,4.72852649648309,,4.78120048849233,,9486248,
2001-09-11,4.901404857635498,,4.990546109876476,,4.8892494235539266,,4.970286837333941,,5723644,
2001-09-12,4.859536647796631,,4.889250187446125,,4.76769420958924,,4.771745805842866,,12584685,
2001-09-13,4.847380638122559,,4.90275611831102,,4.8217186960506275,,4.8635879931306745,,5520577,
2001-09-14,4.902756690979004,,4.9297690603510205,,4.835225767548963,,4.8635885612236125,,3855436,
2001-09-17,4.840627193450928,,4.901405013005129,,4.7947063036761515,,4.873041901102548,,4514257,
2001-09-18,4.8960041999816895,,4.936522756338212,,4.841978810953067,,4.846031054920675,,5413338,
2001-09-19,4.986495018005371,,4.986495018005371,,4.870341699174026,,4.902756736889958,,4346710,
2001-09-20,4.944624900817871,,5.004052298365729,,4.929768294138328,,4.983793024485529,,5614375,
2001-09-21,4.8703413009643555,,4.943274887154532,,4.862237461295473,,4.90005516401031,,3959394,
2001-09-24,4.868990421295166,,4.914911312163422,,4.862237006462889,,4.870340845373708,,2044386,
2001-09-25,4.893301486968994,,4.935170783670177,,4.868990616481757,,4.900054902071999,,1752873,
2001-09-26,4.873042106628418,,4.927067484619389,,4.862237095752203,,4.877094349768133,,2490417,
2001-09-27,4.95678186416626,,4.9945989232447126,,4.862237922030316,,4.873042934742711,,4410781,
2001-09-28,5.00945520401001,,5.024311810436974,,4.929768210326823,,4.983792939755544,,8586599,
2001-10-01,5.00945520401001,,5.024311810436974,,4.929768210326823,,4.983792939755544,,0,
2001-10-02,5.00945520401001,,5.024311810436974,,4.929768210326823,,4.983792939755544,,0,
2001-10-03,5.00945520401001,,5.024311810436974,,4.929768210326823,,4.983792939755544,,0,
2001-10-04,5.00945520401001,,5.024311810436974,,4.929768210326823,,4.983792939755544,,0,
2001-10-05,5.00945520401001,,5.024311810436974,,4.929768210326823,,4.983792939755544,,0,
2001-10-08,4.940573692321777,,5.021611117806646,,4.896003545178493,,4.997300246132098,,3292328,
2001-10-09,5.037818431854248,,5.0648304735777465,,4.943274505967572,,4.943274505967572,,4802956,
2001-10-10,4.875744342803955,,5.055376652708346,,4.866289755222204,,5.037818872593495,,8817850,
2001-10-11,4.828471660614014,,4.929768024473981,,4.814965478766019,,4.863587539252876,,6183930,
2001-10-12,4.862237930297852,,4.9500287800890685,,4.598866675364015,,4.848732068896834,,10054958,
2001-10-15,4.767694473266602,,4.862237765131843,,4.713669735057891,,4.8487319041896075,,4901839,
2001-10-16,4.700161933898926,,4.835224389485411,,4.69340916709044,,4.744732718991787,,4180581,
2001-10-17,4.6191253662109375,,4.701513860977684,,4.578606816324237,,4.698812041820728,,6284848,
2001-10-18,4.597514629364014,,4.681253858897102,,4.579957176304811,,4.61912464872421,,2504084,
2001-10-19,4.5245819091796875,,4.612372420835392,,4.458401743019888,,4.592113146670975,,7882661,
2001-10-22,4.428688049316406,,4.551594770277153,,4.4165326138025485,,4.497570037131276,,4904522,
2001-10-23,4.871692657470703,,4.871692657470703,,4.728526639222187,,4.862238068805733,,20399767,
2001-10-24,4.84332799911499,,4.970286951346163,,4.7420322812984645,,4.967585779667172,,20442051,
2001-10-25,4.71096658706665,,4.835224356011447,,4.708265739249836,,4.821717851658421,,8058187,
2001-10-26,4.727175712585449,,4.740681572936201,,4.648839457281592,,4.686656837093481,,4523417,
2001-10-29,4.767694473266602,,4.812264623400833,,4.71096791564956,,4.71096791564956,,2305303,
2001-10-30,4.727175712585449,,4.793356531768666,,4.716370700694919,,4.760940848877221,,1750722,
2001-10-31,4.733928203582764,,4.739330547037225,,4.700162424357779,,4.7271751124597445,,2393041,
2001-11-01,4.804161548614502,,4.813616136921537,,4.720422619833361,,4.733929128327703,,3337983,
2001-11-02,4.775798320770264,,4.824421038286633,,4.748785628014516,,4.764993308389953,,1726116,
2001-11-05,4.713669776916504,,4.762292494790044,,4.686657083962327,,4.727175961588619,,1854529,
2001-11-06,4.747434616088867,,4.767693890440541,,4.689357641282185,,4.700162652325059,,1311123,
2001-11-07,4.571854591369629,,4.727176041328944,,4.565101175309706,,4.727176041328944,,4685617,
2001-11-08,4.551593780517578,,4.577255070127858,,4.4543486995034325,,4.504321825684472,,3719430,
2001-11-09,4.612371921539307,,4.656942384598184,,4.502971399840367,,4.5515941056253455,,1889703,
2001-11-12,4.538087844848633,,4.646137293470381,,4.527282511654628,,4.646137293470381,,1348317,
2001-11-13,4.543491363525391,,4.551595203712943,,4.485414381531168,,4.494868646010018,,1343533,
2001-11-14,4.5448408126831055,,4.592112772154644,,4.543490388681553,,4.543490388681553,,386406,
2001-11-15,4.548893928527832,,4.565100961316104,,4.5245824085156165,,4.544841684915861,,1102162,
2001-11-16,4.604268550872803,,4.889249782206381,,4.590762691796926,,4.889249782206381,,5002028,
2001-11-19,4.733928203582764,,4.7379797993686665,,4.605619148635506,,4.612372239758525,,5002028,
2001-11-20,4.778498649597168,,4.7987579228809265,,4.713668910367163,,4.754187780544566,,1876563,
2001-11-21,4.751486778259277,,4.794707151190821,,4.713669720517788,,4.792005331790824,,2512606,
2001-11-22,4.743382453918457,,4.767693321350707,,4.71501934376768,,4.75688831159756,,2109804,
2001-11-23,4.724474906921387,,4.760941218111449,,4.6974622132951325,,4.7285265035358695,,1990269,
2001-11-26,4.674501895904541,,4.727176213094254,,4.659644638920822,,4.727176213094254,,1558182,
2001-11-27,4.727175712585449,,4.73662997663594,,4.670449157452723,,4.670449157452723,,1291110,
