Date,Close,High,Low,Open,Volume
1990-01-02,3.6201515197753906,3.62015151977539,3.5559644360914295,3.5944766863018063,5742400
1990-01-03,3.6137330532073975,3.639407888398924,3.594476926813752,3.620151762005279,6478400
1990-01-04,3.543126106262207,3.600894466690395,3.5174512794052344,3.5944757599761523,6286400
1990-01-05,3.4789414405822754,3.5495472631771188,3.4789414405822754,3.51745370745219,4283200
1990-01-08,3.543126106262207,3.5559635196906934,3.4725203324055327,3.478939039119776,2887200
1990-01-09,3.543126106262207,3.5623822264049365,3.5174512794052344,3.536707399547964,5472000
1990-01-10,3.562384843826294,3.5688035552566117,3.51745386381407,3.562384843826294,4456000
1990-01-11,3.6137330532073975,3.6329891796010423,3.568802091622225,3.5880582180158704,3821600
1990-01-12,3.5013303756713867,3.5853106245343533,3.4690302799548607,3.565930567104438,6524800
1990-01-15,3.514248847961426,3.5336288967553307,3.4754887503736156,3.4819487666382507,3548000
1990-01-16,3.559469223022461,3.559469223022461,3.481949022158088,3.481949022158088,5158400
1990-01-17,3.540088176727295,3.5853082811745414,3.5271681468852245,3.5530082065693653,4715200
1990-01-18,3.591768264770508,3.6046882944998977,3.520708101258861,3.520708101258861,4432800
1990-01-19,3.5659279823303223,3.617608098016269,3.5659279823303223,3.617608098016269,6000000
1990-01-22,3.4819509983062744,3.5723912839765672,3.4561109166861907,3.5659312635715463,4911200
1990-01-23,3.4173495769500732,3.514249848508204,3.3979695226384474,3.5013298123004533,6199200
1990-01-24,3.4238088130950928,3.436728846352055,3.3592086468102793,3.3592086468102793,5979200
1990-01-25,3.242929220199585,3.4948699365099114,3.242929220199585,3.44318978957446,13050400
1990-01-26,3.2623093128204346,3.3139894603502635,3.230009220614292,3.2623093128204346,12151200
1990-01-29,3.2364683151245117,3.2816884313038965,3.2041682321392373,3.2623083815127316,4562400
1990-01-30,3.242929220199585,3.262309275300379,3.2041691099979963,3.255849256933448,5979200
1990-01-31,3.307528495788574,3.3398285787552595,3.2558483630418777,3.275228412821889,6228000
1990-02-01,3.3398287296295166,3.352748763399844,3.3075286452036994,3.320448678974026,5135200
1990-02-02,3.3656694889068604,3.3850495435454793,3.313989343203876,3.3333693978424948,3768000
1990-02-05,3.391510248184204,3.397970267704555,3.3721301896231513,3.3721301896231513,3948000
1990-02-06,3.3656694889068604,3.3915095617583524,3.346289434268241,3.3850495435454793,4194400
1990-02-07,3.404430627822876,3.4302707084894632,3.3204503656564675,3.3398304261564076,4373600
1990-02-08,3.3850483894348145,3.4367285175177886,3.359208325393327,3.397968421455558,4962400
1990-02-09,3.4238088130950928,3.4431888629805365,3.3785886966957235,3.41088877983813,4240000
1990-02-12,3.3656694889068604,3.4302696710355907,3.3656694889068604,3.4238096528227175,2880800
1990-02-13,3.3656694889068604,3.3915095617583524,3.352749452481114,3.372129507119733,4260000
1990-02-14,3.391510248184204,3.4044302872249057,3.3721301896231513,3.3721301896231513,2314400
1990-02-15,3.443187713623047,3.456107742567223,3.385047583374252,3.385047583374252,2984800
1990-02-16,3.456111431121826,3.4754914952215747,3.4302713456554947,3.456111431121826,5103200
1990-02-20,3.3721301555633545,3.404430252838866,3.3592101166531503,3.3721301555633545,3996800
1990-02-21,3.3398287296295166,3.352748763399844,3.313988662088863,3.320448678974026,4656000
1990-02-22,3.2623093128204346,3.352749570997635,3.2558492943792063,3.3269094972327204,4048000
1990-02-23,3.2300093173980713,3.28168946647644,3.1912492055892945,3.2429293546676634,4683200
1990-02-26,3.2623093128204346,3.2687693312616632,3.230009220614292,3.242929257496749,2842400
1990-02-27,3.2623093128204346,3.301069423467806,3.2493892759379777,3.2493892759379777,2995200
