Date,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
2007-01-09,,28.938438415527344,,,29.88248747143756,,,27.503781479091288,,,27.503781479091288,,,319018973,
2007-01-10,,29.332414627075195,,,29.95682500047051,,,28.782340509821122,,,29.58515222667897,,,68610210,
2007-01-11,,28.462705612182617,,,29.43648659863884,,,27.51122125217804,,,28.841810645910115,,,43902506,
2007-01-12,,29.362154006958008,,,29.54055821569397,,,27.875462664833552,,,28.091033589994886,,,42177470,
2007-01-15,,32.29836654663086,,,32.29836654663086,,,28.9533113818952,,,29.600021253098678,,,56131919,
2007-01-16,,33.48772048950195,,,34.84804437077789,,,32.751809894417086,,,33.6586896462958,,,44567735,
2007-01-17,,33.45055389404297,,,36.79560928344727,,,32.826143441261955,,,33.65868976642378,,,50948864,
2007-01-18,,32.313236236572266,,,34.26823324979426,,,31.14618379568023,,,33.510023183947325,,,52023113,
2007-01-19,,33.13090515136719,,,33.227540849971476,,,31.614479813610515,,,32.72206573738592,,,25919541,
2007-01-22,,34.83317184448242,,,34.93723976454705,,,32.33553042037865,,,33.21267836897791,,,33922355,
2007-01-23,,32.72950744628906,,,35.28661824898567,,,32.61800730227011,,,35.085914586985275,,,38089971,
2007-01-24,,32.632869720458984,,,33.3464807447522,,,31.577317599175228,,,32.484200048155024,,,21581200,
2007-01-25,,30.358230590820312,,,32.07535973120883,,,29.585150583712554,,,31.963856771008224,,,37313678,
2007-01-26,,29.927087783813477,,,30.39539623029686,,,28.618800986401542,,,29.73381920665095,,,27503851,
2007-01-29,,30.291339874267578,,,31.220522078999714,,,29.964268759031928,,,31.086719614667164,,,22475076,
2007-01-30,,29.711528778076172,,,30.84884680092263,,,29.436488825179072,,,30.84884680092263,,,16031494,
2007-01-31,,28.403240203857422,,,30.0237341529806,,,28.024135122016208,,,29.733829766459856,,,25909516,
2007-02-01,,28.841808319091797,,,28.99047800418968,,,28.08359547716715,,,28.120765025170414,,,17665205,
2007-02-02,,26.753009796142578,,,28.871543653915968,,,26.611772315198703,,,28.826941896411828,,,34689123,
2007-02-05,,25.102779388427734,,,26.537436516757374,,,24.902075751053108,,,26.537436516757374,,,23935842,
2007-02-06,,25.67515754699707,,,25.682589755270556,,,24.53040464946865,,,24.894645238914386,,,20159321,
2007-02-07,,25.905593872070312,,,26.641507287793225,,,25.481887093079052,,,25.756927015724166,,,29468077,
2007-02-08,,25.794095993041992,,,26.21780280921023,,,25.385256430940558,,,26.1657688377958,,,12040447,
2007-02-09,,26.83477210998535,,,27.191580454577796,,,25.831256793278694,,,26.009660965574916,,,20162935,
2007-02-12,,26.909107208251953,,,27.317946659152486,,,26.46309821447483,,,26.51513217173646,,,13816314,
2007-02-13,,26.55230712890625,,,27.05778239020922,,,26.30700170696279,,,26.98344612493609,,,11271000,
2007-02-14,,27.065214157104492,,,27.132115376938927,,,26.604340662488703,,,26.849643244789267,,,14579488,
2007-02-15,,28.23970603942871,,,28.380940709844587,,,27.117252378937618,,,27.280789349889982,,,20065706,
2007-02-16,,28.113332748413086,,,28.603940772578085,,,27.934931377246908,,,28.574206265504163,,,14943530,
2007-02-26,,27.689619064331055,,,28.15049246685941,,,27.228745661802698,,,28.15049246685941,,,21348862,
2007-02-27,,25.19198226928711,,,27.674756720121444,,,25.12508105096133,,,27.674756720121444,,,24353909,
2007-02-28,,26.663801193237305,,,26.678668442901767,,,24.96154222340648,,,25.087909592097503,,,26980758,
2007-03-01,,25.27375030517578,,,26.834774925063627,,,24.976410932035993,,,26.76044149959789,,,26005391,
2007-03-02,,25.125078201293945,,,25.496750964140418,,,24.894642903137544,,,25.273747873560165,,,15338608,
2007-03-05,,23.995195388793945,,,25.095346551564834,,,23.415386720267815,,,25.08791434314409,,,19729239,
2007-03-06,,24.485801696777344,,,25.03587865821135,,,23.526886662770885,,,23.83909185431653,,,15361190,
2007-03-07,,24.649343490600586,,,25.162251006766326,,,24.49324157293782,,,24.641911281223763,,,12962706,
2007-03-08,,24.6790714263916,,,24.902074511606735,,,24.50066725683665,,,24.820306052045634,,,10533320,
2007-03-09,,24.582441329956055,,,24.92437966107894,,,24.15873452059971,,,24.716243778767396,,,15850451,
2007-03-12,,24.381736755371094,,,24.77571187814573,,,24.158733627475964,,,24.597307674446455,,,15535657,
2007-03-13,,24.5304012298584,,,24.753404310274963,,,24.285095856453566,,,24.396598814480857,,,12547373,
2007-03-14,,23.81679344177246,,,24.381734843858315,,,23.78705893754731,,,24.381734843858315,,,16274116,
2007-03-15,,24.14385986328125,,,24.649334995871786,,,23.980322956961412,,,23.980322956961412,,,13141221,
2007-03-16,,25.13251495361328,,,25.273749592269695,,,24.084397804535865,,,24.270234198596672,,,34631759,
2007-03-19,,26.232667922973633,,,26.611772946010568,,,24.716242159548816,,,24.790575588179262,,,39511281,
2007-03-20,,25.91303253173828,,,26.388773343955247,,,25.65285982555537,,,26.27727035049987,,,16869244,
2007-03-21,,25.727191925048828,,,26.128599233586087,,,25.422420339449456,,,26.054262971465228,,,13798976,
2007-03-22,,25.533918380737305,,,26.2772639270253,,,25.467017168145855,,,25.868424443694547,,,16867843,
2007-03-23,,25.27375030517578,,,25.868426215816942,,,25.058179401431357,,,25.533920129944285,,,15897976,
2007-03-26,,25.615684509277344,,,25.868422085399974,,,25.281178476815345,,,25.348079683307745,,,14241016,
2007-03-27,,25.444721221923828,,,25.734625571296675,,,25.273752062951086,,,25.68259160272404,,,14479478,
2007-03-28,,26.12116241455078,,,26.240097590223726,,,25.169681009167213,,,25.49675203335825,,,30599142,
2007-03-29,,26.60434341430664,,,27.87546388700055,,,26.202936053780515,,,26.202936053780515,,,45301693,
2007-03-30,,26.188064575195312,,,26.73814155485034,,,26.121163359232384,,,26.418502726987267,,,15986940,
2007-04-02,,26.425933837890625,,,26.678671439296636,,,26.121162274633804,,,26.254964701003946,,,16630644,
2007-04-03,,26.64893341064453,,,27.035473387276664,,,26.425930341413114,,,26.448232633282764,,,15296523,
2007-04-04,,26.210355758666992,,,26.686099163973495,,,26.128590152210574,,,26.671231916716653,,,16879687,
2007-04-05,,26.076560974121094,,,26.240095052582337,,,25.75692218872968,,,26.202928345461054,,,16418377,
2007-04-06,,26.17319679260254,,,26.50770286563534,,,25.83125851156381,,,25.93532643747661,,,13959466,
2007-04-09,,27.503780364990234,,,27.548382110736014,,,26.02452174092232,,,26.054256238086175,,,38200307,
2007-04-10,,27.08751106262207,,,27.637588022206153,,,26.522569687267136,,,27.146980068258518,,,44552700,
2007-04-11,,27.8605899810791,,,28.15792932580774,,,27.1321117056959,,,27.243614668878674,,,50506708,
2007-04-12,,27.875459671020508,,,28.41810161233977,,,27.73422502951716,,,28.18023124999813,,,29856508,
2007-04-13,,28.016695022583008,,,28.507303011801472,,,27.540954285842492,,,27.875460377500186,,,30177564,
2007-04-16,,28.477567672729492,,,28.603935049050065,,,28.024126455319255,,,28.031558662781247,,,34212396,
2007-04-17,,28.172792434692383,,,29.250641020684416,,,27.578113832663732,,,28.484996148683464,,,39132654,
